Fri Nov 29 23:17:59 2024    profile_output

         10015535 function calls (9984484 primitive calls) in 17.521 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      406    0.010    0.000    0.169    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:737(draw)
   773320    0.168    0.000    0.168    0.000 {built-in method builtins.abs}
     2026    0.008    0.000    0.167    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:65(_get_text_metrics_with_cache)
      5/2    0.000    0.000    0.158    0.079 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\_api\deprecation.py:446(wrapper)
        2    0.000    0.000    0.158    0.079 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\figure.py:1738(get_tightbbox)
        3    0.000    0.000    0.158    0.053 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:4419(get_tightbbox)
     3962    0.003    0.000    0.154    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:415(pchanged)
       26    0.008    0.000    0.150    0.006 {built-in method select.select}
     7844    0.142    0.000    0.144    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\_api\__init__.py:99(check_in_list)
      672    0.001    0.000    0.140    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:727(set_figure)
      515    0.000    0.000    0.138    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:320(_set_artist_props)
      300    0.115    0.000    0.115    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
   770483    0.114    0.000    0.114    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:2245(_clip_dispatcher)
    14668    0.106    0.000    0.106    0.000 {built-in method builtins.round}
